transcript_id	gene_id
g11318.t1	g11318
g11319.t1	g11319
g1132.t1	g1132
g11320.t1	g11320
g11320.t2	g11320
g11321.t1	g11321
g11322.t1	g11322
g11323.t1	g11323
g11323.t2	g11323
g11324.t1	g11324
g11325.t1	g11325
g11326.t1	g11326
g11326.t2	g11326
g11327.t1	g11327
g11329.t1	g11329
g1133.t1	g1133
g11335.t1	g11335
g11336.t1	g11336
g11337.t1	g11337
g11339.t1	g11339
g1134.t1	g1134
g11340.t1	g11340
g11342.t1	g11342
g11344.t1	g11344
g11345.t1	g11345
g11346.t1	g11346
g11348.t1	g11348
g11348.t2	g11348
g11349.t1	g11349
g11350.t1	g11350
g11351.t1	g11351
g11352.t1	g11352
g11353.t1	g11353
g11354.t1	g11354
g11355.t1	g11355
g11358.t1	g11358
g1136.t1	g1136
g11362.t1	g11362
g11362.t2	g11362
g11365.t1	g11365
g11367.t1	g11367
g11368.t1	g11368
g1137.t1	g1137
g11376.t1	g11376
g11377.t1	g11377
g1138.t1	g1138
g11380.t1	g11380
g11380.t2	g11380
g11380.t3	g11380
g11381.t1	g11381
g11381.t2	g11381
g11383.t1	g11383
g11384.t1	g11384
g11385.t1	g11385
g11386.t1	g11386
g11389.t1	g11389
g1139.t1	g1139
g11390.t1	g11390
g11392.t1	g11392
g11393.t1	g11393
g11395.t1	g11395
g11396.t1	g11396
g1140.t1	g1140
g11400.t1	g11400
g11402.t1	g11402
g11403.t1	g11403
g11405.t1	g11405
g11405.t2	g11405
g11409.t1	g11409
g11411.t1	g11411
g11412.t1	g11412
g11413.t1	g11413
g11414.t1	g11414
g11415.t1	g11415
g11416.t1	g11416
g11420.t1	g11420
g11420.t2	g11420
g11421.t1	g11421
g11422.t1	g11422
g11424.t1	g11424
g11425.t1	g11425
g11426.t1	g11426
g11426.t2	g11426
g11428.t1	g11428
g11429.t1	g11429
g11431.t1	g11431
g11432.t1	g11432
g11435.t1	g11435
g11435.t2	g11435
g11437.t1	g11437
g11438.t1	g11438
g11439.t1	g11439
g11440.t1	g11440
g11441.t1	g11441
g11443.t1	g11443
g11444.t1	g11444
g11445.t1	g11445
g11447.t1	g11447
g11448.t1	g11448
g11452.t1	g11452
g11453.t1	g11453
g11455.t1	g11455
g11455.t2	g11455
g11456.t1	g11456
g11457.t1	g11457
g1146.t1	g1146
g1146.t2	g1146
g1146.t3	g1146
g11460.t1	g11460
g11462.t1	g11462
g11463.t1	g11463
g11464.t1	g11464
g11471.t1	g11471
g11479.t1	g11479
g11487.t1	g11487
g11489.t1	g11489
g11492.t1	g11492
g11493.t1	g11493
g11495.t1	g11495
g11498.t1	g11498
g11498.t2	g11498
g11499.t1	g11499
g11500.t1	g11500
g11500.t2	g11500
g11501.t1	g11501
g11501.t2	g11501
g11504.t1	g11504
g11505.t1	g11505
g11507.t1	g11507
g11508.t1	g11508
g11511.t1	g11511
g11516.t1	g11516
g11517.t1	g11517
g11517.t2	g11517
g1153.t1	g1153
g11532.t1	g11532
g11533.t1	g11533
g11534.t1	g11534
g11535.t1	g11535
g11536.t1	g11536
g11537.t1	g11537
g11537.t2	g11537
g11538.t1	g11538
g1154.t1	g1154
g11540.t1	g11540
g11542.t1	g11542
g11544.t1	g11544
g11545.t1	g11545
g11547.t1	g11547
g11548.t1	g11548
g11549.t1	g11549
g1155.t1	g1155
g11550.t1	g11550
g11550.t2	g11550
g11551.t1	g11551
g11552.t1	g11552
g11554.t1	g11554
g11555.t1	g11555
g11556.t1	g11556
g11557.t1	g11557
g11559.t1	g11559
g1156.t1	g1156
g11560.t1	g11560
g11560.t2	g11560
g11561.t1	g11561
g11565.t1	g11565
g11565.t2	g11565
g11567.t1	g11567
g11568.t1	g11568
g11569.t1	g11569
g1157.t1	g1157
g1157.t2	g1157
g11570.t1	g11570
g11570.t2	g11570
g11572.t1	g11572
g11573.t1	g11573
g11574.t1	g11574
g11575.t1	g11575
g11576.t1	g11576
g11577.t1	g11577
g11578.t1	g11578
g11579.t1	g11579
g1158.t1	g1158
g11581.t1	g11581
g11582.t1	g11582
g11583.t1	g11583
g11584.t1	g11584
g11585.t1	g11585
g11585.t2	g11585
g11586.t1	g11586
g11586.t2	g11586
g11587.t1	g11587
g11588.t1	g11588
g11589.t1	g11589
g1159.t1	g1159
g11592.t1	g11592
g11593.t1	g11593
g11594.t1	g11594
g11595.t1	g11595
g11595.t2	g11595
g11596.t1	g11596
g11599.t1	g11599
g116.t1	g116
g11600.t1	g11600
g11604.t1	g11604
g11605.t1	g11605
g11605.t2	g11605
g11606.t1	g11606
g11607.t1	g11607
g11608.t1	g11608
g11609.t1	g11609
g1161.t1	g1161
g11610.t1	g11610
g11611.t1	g11611
g11612.t1	g11612
g11612.t2	g11612
g11613.t1	g11613
g11614.t1	g11614
g11616.t1	g11616
g11617.t1	g11617
g11618.t1	g11618
g11618.t2	g11618
g11619.t1	g11619
g11620.t1	g11620
g11620.t2	g11620
g11621.t1	g11621
g11622.t1	g11622
g11624.t1	g11624
g11625.t1	g11625
g11626.t1	g11626
g11626.t2	g11626
g11628.t1	g11628
g11630.t1	g11630
g11631.t1	g11631
g11632.t1	g11632
g11634.t1	g11634
g11635.t1	g11635
g11636.t1	g11636
g11636.t2	g11636
g11637.t1	g11637
g11639.t1	g11639
g11639.t2	g11639
g1164.t1	g1164
g11640.t1	g11640
g11641.t1	g11641
g11646.t1	g11646
g11647.t1	g11647
g11647.t2	g11647
g1165.t1	g1165
g11651.t1	g11651
g11652.t1	g11652
g11653.t1	g11653
g11656.t1	g11656
g11657.t1	g11657
g11658.t1	g11658
g11659.t1	g11659
g1166.t1	g1166
g11660.t1	g11660
g11661.t1	g11661
g11662.t1	g11662
g11662.t2	g11662
g11662.t3	g11662
g11663.t1	g11663
g11664.t1	g11664
g11665.t1	g11665
g11666.t1	g11666
g11667.t1	g11667
g11668.t1	g11668
g11669.t1	g11669
g1167.t1	g1167
g11671.t1	g11671
g11672.t1	g11672
g11673.t1	g11673
g11674.t1	g11674
g11675.t1	g11675
g11676.t1	g11676
g11677.t1	g11677
g11681.t1	g11681
g11683.t1	g11683
g11684.t1	g11684
g11687.t1	g11687
g1169.t1	g1169
g11692.t1	g11692
g11694.t1	g11694
g11695.t1	g11695
g11696.t1	g11696
g11696.t2	g11696
g11699.t1	g11699
g1170.t1	g1170
g11700.t1	g11700
g11701.t1	g11701
g11702.t1	g11702
g11704.t1	g11704
g11705.t1	g11705
g11706.t1	g11706
g11708.t1	g11708
g1171.t1	g1171
g11711.t1	g11711
g11712.t1	g11712
g11714.t1	g11714
g11717.t1	g11717
g11718.t1	g11718
g11719.t1	g11719
g1172.t1	g1172
g11720.t1	g11720
g11721.t1	g11721
g11722.t1	g11722
g11723.t1	g11723
g11725.t1	g11725
g11726.t1	g11726
g11726.t2	g11726
g1173.t1	g1173
g11731.t1	g11731
g11737.t1	g11737
g11739.t1	g11739
g11740.t1	g11740
g11741.t1	g11741
g11743.t1	g11743
g11744.t1	g11744
g11745.t1	g11745
g1175.t1	g1175
g11766.t1	g11766
g11766.t2	g11766
g11766.t3	g11766
g11768.t1	g11768
g1177.t1	g1177
g11771.t1	g11771
g11773.t1	g11773
g11775.t1	g11775
g11775.t2	g11775
g11775.t3	g11775
g11777.t1	g11777
g1178.t1	g1178
g11784.t1	g11784
g11786.t1	g11786
g11787.t1	g11787
g11789.t1	g11789
g11789.t2	g11789
g11789.t3	g11789
g1179.t1	g1179
g11790.t1	g11790
g11791.t1	g11791
g11792.t1	g11792
g11793.t1	g11793
g118.t1	g118
g11805.t1	g11805
g11806.t1	g11806
g11809.t1	g11809
g1181.t1	g1181
g11811.t1	g11811
g11813.t1	g11813
g11813.t2	g11813
g11818.t1	g11818
g11819.t1	g11819
g11819.t2	g11819
g11819.t3	g11819
g11828.t1	g11828
g11832.t1	g11832
g11833.t1	g11833
g11833.t2	g11833
g11835.t1	g11835
g11836.t1	g11836
g11837.t1	g11837
g11838.t1	g11838
g11839.t1	g11839
g11840.t1	g11840
g11844.t1	g11844
g11845.t1	g11845
g11845.t2	g11845
g11845.t3	g11845
g11846.t1	g11846
g11847.t1	g11847
g11850.t1	g11850
g11855.t1	g11855
g11859.t1	g11859
g11860.t1	g11860
g11861.t1	g11861
g11863.t1	g11863
g11866.t1	g11866
g11869.t1	g11869
g11870.t1	g11870
g11880.t1	g11880
g11882.t1	g11882
g11883.t1	g11883
g11885.t1	g11885
g11891.t1	g11891
g119.t1	g119
g11904.t1	g11904
g11906.t1	g11906
g11915.t1	g11915
g11916.t1	g11916
g11917.t1	g11917
g11918.t1	g11918
g11918.t2	g11918
g1192.t1	g1192
g11921.t1	g11921
g11923.t1	g11923
g11928.t1	g11928
g1193.t1	g1193
g11934.t1	g11934
g11935.t1	g11935
g11938.t1	g11938
g11939.t1	g11939
g1194.t1	g1194
g11945.t1	g11945
g1195.t1	g1195
g1195.t2	g1195
g1195.t3	g1195
g11958.t1	g11958
g11963.t1	g11963
g11964.t1	g11964
g11966.t1	g11966
g1197.t1	g1197
g1198.t1	g1198
g11983.t1	g11983
g11988.t1	g11988
g11994.t1	g11994
g11994.t2	g11994
g11996.t1	g11996
g11997.t1	g11997
g11999.t1	g11999
g12000.t1	g12000
g12002.t1	g12002
g12003.t1	g12003
g12007.t1	g12007
g12008.t1	g12008
g1201.t1	g1201
g1202.t1	g1202
g12020.t1	g12020
g12026.t1	g12026
g12029.t1	g12029
g1203.t1	g1203
g12033.t1	g12033
g12036.t1	g12036
g12037.t1	g12037
g1204.t1	g1204
g1204.t2	g1204
g1205.t1	g1205
g12057.t1	g12057
g1206.t1	g1206
g12067.t1	g12067
g12068.t1	g12068
g1207.t1	g1207
g12075.t1	g12075
g12077.t1	g12077
g12080.t1	g12080
g12082.t1	g12082
g12084.t1	g12084
g12087.t1	g12087
g1209.t1	g1209
g12090.t1	g12090
g12093.t1	g12093
g12095.t1	g12095
g12097.t1	g12097
g121.t1	g121
g1210.t1	g1210
g12103.t1	g12103
g12103.t2	g12103
g12107.t1	g12107
g1211.t1	g1211
g12111.t1	g12111
g12112.t1	g12112
g1212.t1	g1212
g12120.t1	g12120
g12122.t1	g12122
g12122.t2	g12122
g12122.t3	g12122
